prestige,threshold,mean_final_output,std_final_output
0.0,0.0,1.0,0.0
0.0,0.5,1.0,0.0
0.0,1.0,1.0,0.0
0.0,1.5,1.0,0.0
0.0,2.0,1.0,0.0
0.2,0.0,1.0,0.0
0.2,0.5,1.0,0.0
0.2,1.0,0.9836666666666667,0.03837054665462445
0.2,1.5,0.8856666666666667,0.12001963440903395
0.2,2.0,0.7143333333333334,0.1367525662202216
0.4,0.0,1.0,0.0
0.4,0.5,0.9670000000000001,0.07372596043036206
0.4,1.0,0.7446666666666667,0.1423142063651178
0.4,1.5,0.251,0.14786643553768614
0.4,2.0,0.02333333333333333,0.048518274789049826
0.6,0.0,1.0,0.0
0.6,0.5,0.9073333333333333,0.10559954719512811
0.6,1.0,0.261,0.12183510620280295
0.6,1.5,0.0,0.0
0.6,2.0,0.0,0.0
0.8,0.0,1.0,0.0
0.8,0.5,0.6976666666666667,0.16614666004370407
0.8,1.0,0.018333333333333333,0.03553369778338472
0.8,1.5,0.0,0.0
0.8,2.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.5,0.637,0.15414167240695742
1.0,1.0,0.0,0.0
1.0,1.5,0.0,0.0
1.0,2.0,0.0,0.0
